src_port,dst_port,protocol,app_service,flow_duration,src_bytes,dst_bytes,connection_state,missed_data,tcp_flags,src_packets,src_ip_bytes,dst_packets,dst_ip_bytes,label
17845,22,1,1,0.27066319044848974,5925,,4,452,0,43,298,,1375,0
3766,25,2,0,1.1838919190851942,5859,5315,1,331,0,5,339,7,1127,0
32339,443,2,6,0.8088238164247052,6006,7685,4,348,1,28,65,21,789,0
53904,25,2,2,3.447862828036667,9192,5924,3,264,4,13,868,,199,0
21007,80,0,3,0.14832654758903185,8443,9753,4,75,4,46,1441,44,348,0
61174,443,2,1,1.7028661305740103,148,1420,4,422,0,28,71,26,603,0
57330,53,1,3,0.10171154055704745,3907,5318,2,29,2,30,580,13,297,1
46689,53,1,1,0.9191762003861647,,9716,3,102,0,39,1472,23,508,1
58483,22,2,5,0.03340406489894665,5693,4601,4,154,3,2,889,10,1378,0
29601,22,1,1,0.21516499151138824,9700,8292,1,424,5,48,1395,23,1459,0
37592,110,0,4,0.991455761853916,,7742,5,114,3,19,1000,31,1232,0
8215,110,2,3,1.2247848025011616,2470,9289,0,196,5,34,1465,27,95,0
15418,443,1,4,0.9338695178084185,9301,3687,3,64,3,17,112,48,1168,0
24251,110,0,6,0.8826384110540412,5838,127,0,433,5,2,1205,,1394,0
62266,110,0,5,4.289832017241332,7943,5562,0,258,5,47,116,15,971,0
47776,443,0,4,0.6927663092144908,7633,3749,3,168,4,34,79,40,1465,0
46327,53,1,5,0.44077486540015176,6431,,0,165,5,10,1089,32,670,0
37534,22,1,5,0.7413273582871547,674,1275,2,99,4,19,713,43,844,1
45895,110,1,1,4.1601482156599445,992,4449,5,246,3,13,984,,1148,1
16263,53,2,3,1.2982933905197842,1836,5715,5,170,2,31,653,10,1012,0
37796,110,0,5,6.18366192997344,395,1634,4,459,3,20,1041,10,963,0
41447,22,2,3,0.5150774705720629,5706,6198,1,134,5,33,159,7,1383,1
45639,443,2,3,2.347176049711594,6983,2568,2,279,3,27,433,5,165,1
4528,53,1,2,,4654,8136,4,398,0,45,216,17,224,0
14571,80,2,4,2.6489215683717373,,9783,4,148,1,25,444,,264,0
31369,21,0,3,2.9490990531573766,9399,4386,3,9,0,7,1237,37,765,0
22629,53,2,5,4.163713292676913,8548,8625,3,483,4,20,64,1,1205,0
31854,22,2,5,0.12295299943992344,,4432,4,199,3,3,815,27,580,0
57254,25,1,6,0.5522292731688203,7846,3489,2,141,0,2,1359,,606,0
57659,53,1,1,2.1772453786701904,,5297,2,263,3,31,1415,22,451,0
44457,110,2,5,3.0750587742868145,4518,2436,0,32,3,38,263,19,1346,0
61206,22,2,0,0.7177178482468639,2516,8851,0,64,4,29,772,45,897,0
8103,443,1,0,2.095832619896413,7570,9130,5,44,3,35,254,,1285,0
58920,80,2,0,4.867241491117134,8109,2904,1,423,1,35,1472,23,237,0
33040,21,0,5,0.4267615626683716,2075,4523,1,468,4,13,240,2,184,0
16909,25,1,4,1.05684217440779,2809,8807,5,443,4,12,995,1,1107,0
62232,80,1,4,1.7134793598534208,2693,958,0,251,2,46,353,44,511,0
28421,22,1,3,0.055232536463157844,1320,5464,0,228,2,25,358,44,312,0
58301,25,2,6,1.3125996995814302,1087,4950,3,443,0,14,790,34,578,1
62634,80,2,3,5.73896132303003,7722,2839,4,172,0,3,874,4,274,0
42904,110,2,6,0.03953519735085109,6496,9109,3,222,5,12,1093,26,772,0
40281,110,1,0,2.3027620902292174,3309,5885,5,493,4,24,507,34,109,0
37089,53,1,2,2.300982051774742,3717,8236,5,352,2,16,547,33,908,0
4802,53,1,1,1.23800608812286,7762,8984,0,50,0,5,126,,707,0
17101,110,1,4,2.31465134707487,6265,8063,1,191,3,20,757,3,1123,0
23219,21,0,0,0.12539905228242199,5194,1570,0,158,5,29,1059,5,300,0
60163,110,1,6,1.1412299974523912,4157,3728,5,205,1,41,1088,3,1080,0
33578,53,2,2,0.4413588780166764,1518,4525,5,121,3,20,490,28,740,0
24339,110,2,0,0.0069984944548835415,8995,483,0,494,0,36,1060,23,818,0
60323,80,1,1,0.2387655013572465,6610,309,0,373,3,2,1470,,793,0
48145,21,1,6,0.5109573815650741,1435,3663,3,59,3,13,395,33,1178,0
46071,443,2,0,0.3303774804665287,4063,7304,1,445,5,47,1190,21,563,0
34914,80,2,6,,9153,8761,0,343,0,47,610,,1033,0
37480,25,0,3,0.12382901836471039,,2662,1,380,1,49,847,12,867,0
50714,443,1,2,2.7636900477348627,2707,6537,4,36,4,8,543,,695,0
45213,25,2,0,0.20629679993032624,7693,9626,3,409,2,23,424,42,1148,0
17583,22,1,1,8.209975704777122,5450,4525,2,67,5,36,109,34,1376,1
43167,110,2,4,1.7816558326814451,5871,3859,0,272,4,39,491,47,1479,0
28610,80,0,6,0.005404460018684443,4062,7658,3,101,4,44,845,35,174,0
34561,110,2,3,0.10323957356740632,8165,3686,3,13,4,46,723,30,663,0
9971,22,0,6,1.7373968765476322,1400,,0,351,4,27,1483,17,627,0
51087,22,2,3,2.075094171880167,,8467,0,408,1,25,630,25,1227,1
7801,22,0,1,,8548,,5,87,0,47,150,42,1493,0
53992,110,2,6,2.373952628170607,46,7397,4,210,5,41,736,3,390,0
28542,443,0,1,0.6139716069990374,7887,6207,4,282,3,4,314,25,677,1
39017,110,2,3,3.978247286022993,4934,536,5,2,3,27,704,27,961,0
23306,21,0,1,,9780,7423,5,402,2,34,1028,35,488,0
32185,21,0,1,1.1417350083622284,9967,3838,5,317,3,11,1327,12,62,1
13374,53,2,3,4.173587505991237,681,6366,2,276,3,49,726,1,389,0
22197,21,1,2,,107,5604,3,260,5,9,882,,154,0
60625,110,2,6,0.2688821519724103,1737,6596,3,97,5,21,520,17,297,0
50316,80,0,3,1.9753180163987838,6295,7184,4,468,3,44,270,46,744,0
60937,53,1,3,2.5027614108488105,4462,8841,3,451,2,28,575,42,866,0
14634,443,2,3,0.3306544864507366,8586,3390,5,163,5,1,850,20,1229,0
22020,80,0,5,2.5537365120726565,1574,962,5,489,0,25,1049,12,72,0
27841,21,1,6,2.0198819791217066,1176,3286,3,389,0,26,235,47,424,0
7811,21,0,6,0.28004639315542534,9997,6088,4,38,5,8,1309,43,642,0
13637,25,1,2,2.002542604536226,6528,8734,5,300,3,6,714,34,1082,0
41560,21,1,5,0.8811063779572675,9154,9654,1,403,0,49,408,23,1087,0
26817,21,0,3,0.3009238441745772,5208,9001,3,480,3,44,1412,29,410,0
12208,110,2,3,0.6860851648805849,8316,8573,4,169,2,22,106,39,1388,1
37458,21,1,3,0.6345690519691706,4305,9097,2,78,2,47,1389,11,538,0
2016,25,2,0,0.8637990040631037,2966,4628,4,106,1,23,804,6,1141,0
11807,25,2,2,3.5370797554052364,8144,7483,0,116,5,29,94,39,200,0
58107,25,1,1,0.09395537299923062,4405,1425,4,453,0,34,225,7,1333,0
30604,22,1,5,1.2965483528214359,,3691,1,190,0,32,854,19,192,0
18810,25,0,2,3.151793431998774,649,3446,5,427,4,3,258,19,1005,0
43834,110,2,6,1.2439152157787579,7158,7396,5,273,4,24,919,45,1479,0
56752,22,2,3,0.01160259391803331,7567,6473,3,365,2,1,662,43,1298,0
41477,80,1,5,0.004109432041973227,6217,9669,2,83,3,33,679,43,348,0
44465,80,2,0,1.1874429957997128,7284,3844,1,172,4,1,1134,49,258,0
42221,53,2,1,0.6012263316606704,442,3250,0,61,5,21,728,21,382,0
48048,110,0,1,0.08554019120461631,3678,2805,5,271,4,48,622,44,265,0
38096,110,0,4,4.867990507298258,8677,9768,2,390,0,25,384,38,155,0
27293,21,2,5,0.4443099417690122,7650,8064,2,363,2,28,733,36,251,0
21766,80,1,3,,9573,5915,4,268,2,1,1138,44,645,0
3676,80,1,6,2.305625152080433,3546,4448,2,139,3,30,572,9,763,1
63120,80,2,2,7.484080023128331,5943,6961,2,23,5,36,1373,42,316,0
2819,22,2,4,0.08684621941896808,9497,9348,4,470,4,29,1476,,284,1
65114,53,1,1,0.4135662776083677,2925,9013,5,460,5,40,1497,42,79,1
24867,22,0,4,0.8391754721167239,9733,3179,4,406,0,,201,7,1254,0
2163,110,0,6,2.06780801447606,347,930,5,216,1,39,1316,11,1076,0
54132,443,1,5,1.4907405479887026,7868,4913,5,39,2,1,630,29,1391,0
24488,22,2,0,0.9268343658268249,3361,2890,1,224,5,14,650,27,1411,1
11764,443,0,1,1.2225677546058962,1568,7839,4,124,2,35,1265,,828,0
27323,110,1,5,2.4345389370270185,,163,2,451,4,17,433,,700,0
43855,80,0,3,0.4986261151706133,900,,2,239,2,4,933,,1115,0
12580,21,0,4,1.766123497133739,1069,2253,4,217,2,2,301,16,996,0
36157,443,2,2,2.315600367576723,662,4450,1,459,1,39,1247,,742,0
63158,22,0,0,0.1360142816050398,7131,8572,5,216,1,34,1088,35,608,0
40690,53,1,2,0.3748724416988005,4379,8114,2,129,2,12,245,47,770,0
25795,22,0,6,1.974856006417903,6801,622,1,4,5,34,892,49,1245,0
30052,53,2,6,0.9934338045859121,,,1,442,4,32,1216,48,523,0
51361,21,0,4,2.1787764117453605,7817,2348,1,246,3,3,1198,1,1239,1
13059,53,1,3,1.099295091525433,8776,1488,1,475,4,18,609,4,699,0
36574,21,1,5,1.6073480670809175,913,8614,2,410,1,3,1255,16,761,0
16394,53,1,1,0.38157258644317515,1644,4293,0,162,4,2,1248,10,909,0
27453,53,2,2,0.4911549537698334,8549,7214,5,261,0,11,1348,12,957,0
4033,21,2,5,0.3295954635724838,3499,2473,4,449,4,27,1217,7,989,0
2078,21,0,4,1.9932334034279595,2981,3272,0,40,3,9,922,13,833,0
15846,21,0,3,1.5685292284708956,4434,839,1,464,2,15,1186,34,418,0
7276,22,0,5,1.2719708218688233,4921,8408,4,181,4,38,107,27,1305,0
13451,80,1,5,1.6110611472952259,6515,7177,3,392,2,10,1266,,1286,0
1760,110,2,2,,7645,4558,2,353,2,12,91,,1418,0
55645,110,2,0,0.8081178011725368,5403,8953,5,274,3,23,238,28,105,0
18713,53,1,3,4.7915958569315364,1917,,2,339,5,4,219,12,1275,0
48141,53,2,4,0.22879228590416423,399,6158,0,191,4,18,1344,24,1122,1
15983,25,0,0,4.2761147209042285,7943,1307,3,66,4,26,694,10,654,0
25320,443,1,3,,1355,2142,3,186,3,24,521,44,242,0
39525,25,1,5,2.8751334552658907,9654,137,5,197,1,45,134,38,114,0
26949,25,2,3,0.9833915876421787,7845,9315,5,73,2,23,470,27,236,0
36389,80,1,6,2.9458989840257344,1904,9402,0,251,4,11,581,41,422,0
17712,22,1,6,1.5938537755614257,4100,7391,5,249,1,28,475,5,268,1
12961,110,1,0,,931,2525,0,404,0,45,633,49,1163,0
26511,80,0,5,1.11635045997548,556,3829,4,210,5,2,890,5,273,1
41406,22,0,1,1.3985255558524263,9825,6786,5,50,2,20,68,20,789,0
38106,53,2,4,1.9116826416728796,3361,8212,0,174,0,,1201,10,1224,0
65038,53,1,5,1.3277530269413576,5943,,4,489,5,8,439,18,1176,1
4872,443,1,4,5.057911610196387,9200,,2,360,2,35,260,30,893,0
58765,443,2,3,0.8862334887191199,5497,7344,5,212,2,46,303,,125,1
29370,22,1,3,1.1090433021176966,8475,,5,90,5,43,477,5,219,0
47243,21,0,2,0.2336853916107653,8024,722,0,187,1,48,1167,24,530,1
1229,21,2,6,0.4732645672807485,6788,9882,4,90,2,49,265,45,70,1
60645,22,2,6,0.4298536294668207,4389,5695,0,319,3,18,1182,35,899,0
1413,80,2,6,7.664133912863362,643,99,1,126,0,34,222,22,740,0
5274,21,2,3,0.015549679187592647,1013,8251,3,6,1,39,112,21,658,0
26222,22,1,6,0.890659584336822,6961,7240,1,37,4,17,471,37,630,1
44499,25,2,4,3.295007525877383,4120,3083,5,448,1,17,1445,28,514,0
11111,80,1,2,1.4328912982614481,3020,9926,1,353,1,20,1230,9,940,0
44971,110,0,1,0.6827560929620737,8940,4239,3,391,0,23,691,17,169,0
7858,21,1,0,0.8012976538357255,,3762,1,234,4,48,141,38,798,0
28056,110,2,4,2.062259894619076,,9167,2,256,3,33,1498,4,1229,0
56295,22,0,0,0.33848565562882627,1874,7768,2,296,0,34,600,44,1089,0
16362,25,0,6,2.7795653906926168,1826,924,3,42,5,39,1334,15,432,0
49467,21,1,1,2.634241251230331,5339,9566,1,235,3,,1099,39,104,0
27457,443,1,4,2.0886484646958774,7680,8315,2,434,5,16,334,,513,0
13723,80,2,3,2.18252849280221,,9865,4,400,4,,1165,,591,1
6255,443,2,4,0.049018402218151014,5870,5590,1,145,2,36,698,4,531,0
25684,110,0,2,0.03756215472687341,6747,7554,0,288,3,35,1118,24,1175,0
58392,443,0,6,1.0591652245930414,5595,7286,3,415,1,4,1013,32,1232,1
40307,80,0,0,0.8545608044886954,135,5954,3,280,4,29,1073,27,556,0
18104,110,1,1,0.5349188992098456,5758,6398,3,178,1,14,1059,,1257,1
50762,80,0,1,0.1177498870361946,9377,8602,5,261,2,13,913,4,919,0
46057,21,1,5,1.5108849831723874,8946,,4,421,3,21,1299,,137,0
24303,25,2,1,0.21406896783380103,6686,5257,5,259,2,18,1188,21,354,0
38340,25,2,4,0.46506839021733093,,7020,0,471,3,21,409,8,1012,0
50874,80,0,3,2.99796510881915,2191,6513,0,257,1,16,774,13,1395,0
7961,53,2,0,0.9065619278778744,,315,4,347,5,16,805,48,1250,1
9304,110,0,0,0.34999390424349297,3662,1342,3,292,1,28,449,49,571,1
64540,80,1,5,2.328342642850279,3889,6121,4,74,1,4,923,25,155,0
49386,80,0,2,,5587,7428,3,4,5,22,468,8,600,1
29317,21,0,2,,6896,7883,3,60,5,23,1029,37,793,0
7580,110,0,4,0.17845819852825007,3239,9805,5,138,5,16,567,,653,0
57296,22,1,3,1.0456249320797824,,,4,236,4,18,734,41,281,0
27831,110,1,4,1.4877834841067448,2733,2680,3,183,2,16,340,7,1100,1
62321,80,0,4,1.0561241588963781,4889,6409,4,259,1,22,1310,40,314,1
29277,21,0,3,3.70274433428552,7618,7196,2,161,0,11,776,13,166,0
26591,80,2,0,3.526721531634753,1527,3383,5,465,1,33,747,6,172,0
49626,80,0,0,1.968821876061551,6605,,2,177,4,8,447,10,1176,0
44119,443,2,1,1.5336594751736403,2284,5753,1,171,4,34,1174,29,1052,0
11472,21,2,6,0.5946761901568414,2859,490,5,57,1,18,539,,504,0
45417,21,1,0,4.380413974098866,1590,2577,4,407,1,1,624,9,1094,0
21378,53,1,1,0.4031920534922264,9094,5958,5,484,2,38,991,15,523,0
47027,110,1,2,1.893883257149726,,305,5,182,3,4,896,6,846,0
29740,53,0,2,0.13033815898279033,797,9751,3,86,4,30,1426,33,453,1
27179,80,1,2,0.0707148709306824,4813,2804,1,100,0,18,292,,881,0
12526,25,2,5,1.6168382720994428,2359,7410,4,412,3,36,688,34,323,0
18407,25,2,6,1.8614595566949694,9381,6101,1,454,3,44,1277,18,984,0
44181,80,0,6,,,163,3,456,5,34,153,8,104,0
12263,22,1,2,5.975162425722923,6585,1665,5,351,5,49,133,1,1293,0
65142,21,1,2,0.9290504137004868,1443,8737,4,365,4,34,873,23,1470,0
21149,25,0,5,1.7984261949744553,261,3667,0,102,2,38,1022,,1088,0
23021,22,2,6,2.69999467171274,423,5325,1,145,3,5,667,46,826,0
64402,22,0,1,1.0469329603373407,1721,1025,4,135,3,25,110,11,1311,0
11910,80,0,4,3.6203035533032026,4836,8891,1,52,3,42,145,44,1188,0
26768,80,0,2,,3339,5311,1,421,0,24,917,6,644,0
19618,80,0,4,0.13241420383194313,26,7760,4,302,0,45,1088,31,515,0
3983,80,2,2,0.8871025074926813,3703,356,0,184,3,43,396,19,585,0
59031,80,1,6,1.6102431296234498,9741,9674,0,124,3,26,1276,4,586,1
65463,25,1,0,0.2445806269824018,5137,2711,5,40,5,29,477,4,1109,0
27544,80,1,5,1.7134213586004097,6879,8205,3,470,3,46,1182,7,1085,1
10455,21,2,3,0.52407066485358,5237,5962,3,19,1,32,1296,14,131,0
56995,53,2,3,1.1315717888044547,4521,2253,3,432,2,28,1049,19,1075,0
53358,110,0,3,1.800452238743426,6692,9446,3,220,4,32,935,4,945,0
38121,21,2,5,0.8826314109028156,2413,6002,3,300,5,44,419,,604,0
8479,443,1,6,1.86945872950247,1554,3652,1,496,0,36,780,26,1067,0
41486,53,2,1,,304,1422,4,77,4,17,227,41,924,1
22538,22,0,0,0.1324352042856194,,6676,5,289,2,15,529,9,1188,0
27413,25,2,5,,5639,8241,3,148,4,36,271,2,1331,0
15653,25,1,2,1.053334098622228,3929,2995,3,278,3,49,1331,37,962,0
44776,22,1,2,0.025699898464518922,246,7334,4,240,4,29,920,35,1197,0
18361,443,0,0,1.8645486234286073,,2813,2,183,5,8,712,,1339,0
36927,21,1,5,1.2144545793355805,427,4998,5,191,2,7,1006,9,1483,1
43038,80,1,2,0.21900907455577312,5706,8420,2,31,1,33,942,25,913,0
51366,110,2,0,0.07851903952547357,4958,5935,2,64,1,46,1377,24,80,1
28863,21,1,1,4.210324299622483,9507,8407,5,433,3,31,1478,17,874,1
52133,80,2,3,2.1970668068759003,,6541,3,70,0,16,1097,31,859,1
7462,80,2,5,7.832203543700396,9420,1951,2,227,2,17,1050,15,1243,0
22452,110,2,3,1.8004702391322915,3460,9821,3,285,4,10,385,30,956,0
31152,53,1,0,1.4636999638263293,4540,9002,2,449,5,7,1070,28,161,0
1660,25,2,5,1.3285980451964319,7564,7501,0,327,5,36,228,41,1425,0
27345,80,2,3,0.4156473225655386,537,418,1,337,2,9,148,25,1105,0
39311,25,0,1,0.19476555081877578,380,4678,0,295,0,9,645,7,1365,0
9257,21,2,5,0.44339392198007976,584,8138,3,246,3,44,147,34,766,0
60197,443,0,5,1.806323365578385,8605,339,4,489,4,46,1116,24,842,0
26355,110,1,6,0.1596157914725016,2481,475,1,154,0,30,429,36,980,0
13393,53,1,3,1.0636453213773398,7922,3659,2,327,0,35,261,18,1070,0
35058,110,0,1,0.9476118146856128,7267,6993,2,251,4,38,246,3,532,0
27499,53,2,2,1.9145157028759863,5675,5011,5,402,2,2,305,4,801,0
56657,21,0,2,1.1538442699606817,4304,7728,1,337,0,5,1186,41,1468,0
30265,80,0,5,0.3598661175146076,7683,8488,3,468,5,36,160,37,270,0
16206,22,2,4,1.3737630209031408,,356,1,189,2,20,323,31,1422,0
19746,53,1,0,0.623377810202857,8345,2805,1,246,4,42,1016,33,566,0
6626,22,2,1,3.3531547820425214,5748,6520,0,187,1,40,157,,1000,0
62912,53,1,0,0.06545875738196072,7388,8787,5,297,0,27,832,,125,0
44604,21,1,5,1.2009522876432597,6146,6511,1,491,2,13,578,16,1421,0
56414,53,1,1,1.9591106662686217,6714,2747,4,226,2,41,1019,42,1377,0
29613,110,0,4,1.1867439806987699,1581,9981,0,474,5,21,1494,,652,0
7811,21,2,3,2.203712950453679,8522,1766,2,78,0,11,1394,38,584,1
54486,25,1,2,3.5716495022214,797,9005,5,114,5,,1191,25,629,0
6338,80,2,1,1.0497600214108258,5606,8359,1,310,5,28,1098,26,1337,0
53172,25,0,2,0.8973397286491241,3125,,4,61,3,2,895,12,1200,0
32532,53,0,6,0.9775644617577798,2578,9223,3,335,4,28,786,,601,0
42688,25,2,6,1.075633580361753,1773,6281,4,34,3,28,1032,18,1440,0
34733,21,1,6,3.756491495394651,4187,1272,1,404,3,43,1433,45,552,1
39851,53,0,3,0.8128719038762321,7631,,0,271,3,39,969,45,270,0
28743,25,0,1,3.5530381001560922,8434,4297,3,8,0,10,835,30,1348,0
8861,22,0,1,1.6472579292605087,9856,51,1,214,2,19,985,28,513,1
4016,110,2,0,4.134931670902608,,7436,5,263,5,14,893,42,919,0
35707,53,2,3,0.504617244598009,1698,498,4,496,4,45,1467,,356,0
31560,21,1,2,0.3414197190139001,,2389,0,258,3,48,72,26,1374,0
55590,80,2,4,2.8391156771676593,,6032,0,105,1,9,1069,3,1473,0
57873,25,0,4,3.624976654257003,9846,6062,4,98,0,17,879,6,866,0
6738,22,0,0,0.45356914179709706,5255,3773,5,26,4,26,954,17,1056,0
39270,21,1,1,0.30177586258087663,4342,7248,3,62,1,5,132,5,657,1
15391,53,2,4,1.0899298892073626,3238,2826,2,132,1,28,1233,14,518,1
39407,25,1,1,1.0581032016499778,5648,1395,3,30,3,14,887,,794,0
6531,21,1,1,0.28892758501733495,7964,8988,5,422,4,43,628,31,506,0
14140,80,2,4,1.1715846532092207,,5994,1,385,1,43,656,,173,0
11748,53,0,3,0.9548259705342577,3810,4066,5,91,1,27,1494,17,684,0
58593,110,0,5,0.038360171966576706,3554,7744,1,44,5,10,715,40,703,0
11945,25,0,1,0.44565297078269817,6046,1487,0,413,1,45,1133,13,1212,0
40574,21,2,3,2.867514290667773,9517,1348,4,308,2,,983,43,452,0
49502,110,1,5,,2589,9818,4,465,2,49,685,40,1410,0
45081,22,2,0,0.1348692568688743,1152,329,4,402,1,34,780,18,401,0
56207,443,2,3,0.7408593481766521,4860,9346,4,97,0,23,325,23,809,1
26814,443,0,6,0.28980160389891463,2126,3522,0,276,3,5,203,18,1431,0
26610,22,0,0,3.4503038807711475,6595,6154,3,114,2,36,974,32,1190,1
38189,80,1,2,3.8307961006097697,5283,,1,13,4,5,696,1,389,0
58928,443,1,6,7.036614356450862,2164,9498,5,213,5,29,1237,,1428,0
65403,80,0,3,1.6824746900542265,440,1163,5,260,5,31,523,42,636,0
35026,22,2,3,2.8844576566982125,1184,5093,2,379,3,34,206,26,1041,0
11929,443,2,0,1.1749277254301829,4010,416,2,282,3,23,641,17,1078,0
38351,443,1,1,0.4818597529640176,8413,4604,3,453,2,19,917,23,765,0
25317,80,2,6,0.05398950960983617,6595,6914,2,376,1,28,1354,20,875,0
4016,110,2,2,2.7894166035100554,3544,9621,3,211,0,2,739,49,1103,0
64718,22,0,5,0.628903929584561,5772,1614,3,328,3,18,449,21,106,0
54741,80,0,1,0.0028454047349748546,5865,2936,3,403,3,25,1334,5,439,0
55526,22,2,6,1.9090875856114389,5941,6045,4,46,2,14,906,25,734,0
49326,53,2,2,0.11180575862416986,,7552,5,165,0,28,1359,15,1177,0
49843,21,1,2,0.8621469683738937,2264,1339,0,266,1,22,907,46,1254,0
8465,21,2,0,0.7441844200087487,6393,6843,0,71,3,22,1257,,809,0
64776,21,2,3,1.8930532392187063,3900,2295,0,94,1,15,1045,48,666,0
40628,25,2,5,2.0541617196728152,358,514,2,112,1,19,831,33,282,0
34893,110,1,6,0.5301327958148339,,4903,0,348,5,49,837,46,918,0
22420,21,2,1,0.31525515377631397,7980,9164,0,36,5,37,1117,,1376,0
25942,53,2,5,,4305,,0,269,2,43,1094,16,1329,1
